column,tau,dimension,reason
Lab1_G1_N3,92,3,non_finite_uzal_cost
Lab1_G1_N3,92,17,ArgumentError
Lab1_G1_N3,92,18,ArgumentError
Lab1_G1_N3,92,19,ArgumentError
Lab1_G1_N3,92,20,ArgumentError
Lab1_G1_N3,93,17,ArgumentError
Lab1_G1_N3,93,18,ArgumentError
Lab1_G1_N3,93,19,ArgumentError
Lab1_G1_N3,93,20,ArgumentError
Lab1_G1_N3,94,3,non_finite_uzal_cost
Lab1_G1_N3,94,16,ArgumentError
Lab1_G1_N3,94,17,ArgumentError
Lab1_G1_N3,94,18,ArgumentError
Lab1_G1_N3,94,19,ArgumentError
Lab1_G1_N3,94,20,ArgumentError
Lab1_G1_N3,95,3,non_finite_uzal_cost
Lab1_G1_N3,95,16,ArgumentError
Lab1_G1_N3,95,17,ArgumentError
Lab1_G1_N3,95,18,ArgumentError
Lab1_G1_N3,95,19,ArgumentError
Lab1_G1_N3,95,20,ArgumentError
Lab1_G1_N3,96,3,non_finite_uzal_cost
Lab1_G1_N3,96,16,ArgumentError
Lab1_G1_N3,96,17,ArgumentError
Lab1_G1_N3,96,18,ArgumentError
Lab1_G1_N3,96,19,ArgumentError
Lab1_G1_N3,96,20,ArgumentError
Lab1_G1_N3,97,16,ArgumentError
Lab1_G1_N3,97,17,ArgumentError
Lab1_G1_N3,97,18,ArgumentError
Lab1_G1_N3,97,19,ArgumentError
Lab1_G1_N3,97,20,ArgumentError
Lab1_G1_N3,98,16,ArgumentError
Lab1_G1_N3,98,17,ArgumentError
Lab1_G1_N3,98,18,ArgumentError
Lab1_G1_N3,98,19,ArgumentError
Lab1_G1_N3,98,20,ArgumentError
Lab1_G1_N3,99,3,non_finite_uzal_cost
Lab1_G1_N3,99,16,ArgumentError
Lab1_G1_N3,99,17,ArgumentError
Lab1_G1_N3,99,18,ArgumentError
Lab1_G1_N3,99,19,ArgumentError
Lab1_G1_N3,99,20,ArgumentError
Lab1_G1_N3,100,3,non_finite_uzal_cost
Lab1_G1_N3,100,15,ArgumentError
Lab1_G1_N3,100,16,ArgumentError
Lab1_G1_N3,100,17,ArgumentError
Lab1_G1_N3,100,18,ArgumentError
Lab1_G1_N3,100,19,ArgumentError
Lab1_G1_N3,100,20,ArgumentError
Lab1_G1_N3,101,15,ArgumentError
Lab1_G1_N3,101,16,ArgumentError
Lab1_G1_N3,101,17,ArgumentError
Lab1_G1_N3,101,18,ArgumentError
Lab1_G1_N3,101,19,ArgumentError
Lab1_G1_N3,101,20,ArgumentError
Lab1_G1_N3,102,15,ArgumentError
Lab1_G1_N3,102,16,ArgumentError
Lab1_G1_N3,102,17,ArgumentError
Lab1_G1_N3,102,18,ArgumentError
