column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146032,0.2135239330146032,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460526,0.21352393301460526,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146058,0.2135239330146058,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146058,0.2135239330146058,false
Lab1_G1_N3,3,4,0,0.0,0.2135239330146058,0.2135239330146058,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460607,0.21352393301460607,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460607,0.21352393301460607,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460632,0.21352393301460632,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460684,0.21352393301460684,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.21352393301460734,0.21352393301460734,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419604961,0.3019684419604961,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419604961,0.3019684419604961,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049905,0.30196844196049905,false
Lab1_G1_N3,3,4,0,0.0,0.3019684419604996,0.3019684419604996,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
Lab1_G1_N3,3,4,0,0.0,0.30196844196049977,0.30196844196049977,false
