column,tau,dimension,uzal_cost
Lab1_G1_N1,93,4,1.0567843174951306
Lab1_G1_N1,11,6,1.0568506646374738
Lab1_G1_N1,16,6,1.0568511337233635
Lab1_G1_N1,61,7,1.0569020576249786
Lab1_G1_N1,39,5,1.057125494066623
Lab1_G1_N1,99,4,1.0571603596938837
Lab1_G1_N1,21,6,1.0571811859835203
Lab1_G1_N1,76,6,1.0573642519323114
Lab1_G1_N1,37,7,1.0573737194286952
Lab1_G1_N1,94,4,1.057558572302604
Lab1_G1_N1,47,7,1.0576150435065887
Lab1_G1_N1,25,3,1.0576678011169889
Lab1_G1_N1,54,6,1.0576807788966582
Lab1_G1_N1,89,6,1.0576884550735992
Lab1_G1_N1,40,7,1.0577939040028657
Lab1_G1_N1,94,6,1.05784588793471
Lab1_G1_N1,34,4,1.0578616672567118
Lab1_G1_N1,27,5,1.0578895965628217
Lab1_G1_N1,71,4,1.0580156207261704
Lab1_G1_N1,39,6,1.0580696710797797
Lab1_G1_N1,23,6,1.0580950372247788
Lab1_G1_N1,97,5,1.0584109575579042
Lab1_G1_N1,80,6,1.0585200304923277
Lab1_G1_N1,12,6,1.058562315026352
Lab1_G1_N1,31,7,1.0586812735025075
Lab1_G1_N1,15,5,1.058694434623325
Lab1_G1_N1,31,4,1.0587688318825117
Lab1_G1_N1,59,6,1.0589087138583702
Lab1_G1_N1,92,4,1.0589163094295067
Lab1_G1_N1,16,7,1.0589698346813434
Lab1_G1_N1,18,5,1.0590306039451707
Lab1_G1_N1,78,7,1.0591710594589472
Lab1_G1_N1,32,4,1.0592081000586568
Lab1_G1_N1,90,7,1.059273291823589
Lab1_G1_N1,66,5,1.0592866840641926
Lab1_G1_N1,94,3,1.059356956485878
Lab1_G1_N1,46,8,1.0595162462161865
Lab1_G1_N1,48,7,1.0597525756442667
Lab1_G1_N1,74,8,1.059874425011713
Lab1_G1_N1,66,6,1.0599085671497017
Lab1_G1_N1,37,6,1.0600020919429634
Lab1_G1_N1,13,8,1.0602080946170604
Lab1_G1_N1,100,6,1.0602831651011437
Lab1_G1_N1,46,7,1.060317993725551
Lab1_G1_N1,21,7,1.06053330869492
Lab1_G1_N1,17,5,1.0605424220470803
Lab1_G1_N1,29,4,1.06056588051267
Lab1_G1_N1,21,5,1.0606111482039182
Lab1_G1_N1,98,7,1.0606291611488523
Lab1_G1_N1,14,6,1.0606466623834956
Lab1_G1_N1,29,5,1.0607466305564066
Lab1_G1_N1,33,4,1.0609448174861291
Lab1_G1_N1,22,6,1.0609493114184707
Lab1_G1_N1,16,4,1.0609719145185266
Lab1_G1_N1,88,5,1.0612788477960915
Lab1_G1_N1,100,5,1.0613112434446552
Lab1_G1_N1,25,4,1.0614756371990504
Lab1_G1_N1,82,3,1.0614963660840377
Lab1_G1_N1,80,7,1.0615363575961505
Lab1_G1_N1,22,3,1.0616132570245242
Lab1_G1_N1,17,8,1.0617437514370036
Lab1_G1_N1,92,3,1.0618668180243738
Lab1_G1_N1,19,7,1.0619113150046806
Lab1_G1_N1,19,5,1.0621353523023953
Lab1_G1_N1,98,3,1.0622098025601558
Lab1_G1_N1,38,8,1.0622872365245557
Lab1_G1_N1,22,7,1.0624036413630853
Lab1_G1_N1,81,8,1.0626038238626578
Lab1_G1_N1,61,8,1.0626402772386132
Lab1_G1_N1,32,7,1.0626920730713936
Lab1_G1_N1,62,7,1.0629544967216813
Lab1_G1_N1,39,4,1.0631564572109884
Lab1_G1_N1,92,7,1.0631829593748583
Lab1_G1_N1,49,7,1.0633776090842637
Lab1_G1_N1,88,6,1.0634113910522167
Lab1_G1_N1,99,7,1.0634415381846891
Lab1_G1_N1,19,4,1.0635749633394167
