column,tau,dimension,homology_dimension,birth,death,persistence,is_infinite,embedding_points_original,embedding_points_used,max_points_limit
Lab1_G1_N3,3,4,2,1.9098161458969116,1.9217153787612915,0.011899232864379883,False,1430,400,400
Lab1_G1_N3,3,4,2,1.747768759727478,1.7991846799850464,0.05141592025756836,False,1430,400,400
Lab1_G1_N3,3,4,2,1.6120703220367432,1.6261497735977173,0.014079451560974121,False,1430,400,400
Lab1_G1_N3,3,4,2,1.58353590965271,1.7346765995025635,0.15114068984985352,False,1430,400,400
Lab1_G1_N3,3,4,2,1.569074034690857,1.65394926071167,0.08487522602081299,False,1430,400,400
Lab1_G1_N3,3,4,2,1.5397429466247559,1.6401084661483765,0.1003655195236206,False,1430,400,400
Lab1_G1_N3,3,4,2,1.4946675300598145,1.5098421573638916,0.015174627304077148,False,1430,400,400
Lab1_G1_N3,3,4,2,1.4946675300598145,1.5248658657073975,0.030198335647583008,False,1430,400,400
Lab1_G1_N3,3,4,2,1.4481897354125977,1.5544776916503906,0.10628795623779297,False,1430,400,400
Lab1_G1_N3,3,4,2,1.3837932348251343,1.5098421573638916,0.12604892253875732,False,1430,400,400
Lab1_G1_N3,3,4,2,1.3672202825546265,1.4946675300598145,0.127447247505188,False,1430,400,400
Lab1_G1_N3,3,4,2,1.3672202825546265,1.4163575172424316,0.049137234687805176,False,1430,400,400
Lab1_G1_N3,3,4,2,1.350443959236145,1.4946675300598145,0.14422357082366943,False,1430,400,400
Lab1_G1_N3,3,4,2,1.316249966621399,1.3672202825546265,0.05097031593322754,False,1430,400,400
Lab1_G1_N3,3,4,2,1.298815369606018,1.3672202825546265,0.0684049129486084,False,1430,400,400
Lab1_G1_N3,3,4,2,1.298815369606018,1.316249966621399,0.01743459701538086,False,1430,400,400
Lab1_G1_N3,3,4,2,1.298815369606018,1.3672202825546265,0.0684049129486084,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2632246017456055,1.3334565162658691,0.07023191452026367,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2632246017456055,1.3334565162658691,0.07023191452026367,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2632246017456055,1.3672202825546265,0.103995680809021,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.2811435461044312,0.03609573841094971,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.2632246017456055,0.018176794052124023,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.298815369606018,0.05376756191253662,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.2811435461044312,0.03609573841094971,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.2811435461044312,0.03609573841094971,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2450478076934814,1.2811435461044312,0.03609573841094971,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2266016006469727,1.2450478076934814,0.01844620704650879,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2266016006469727,1.316249966621399,0.08964836597442627,False,1430,400,400
Lab1_G1_N3,3,4,2,1.2266016006469727,1.2450478076934814,0.01844620704650879,False,1430,400,400
Lab1_G1_N3,3,4,2,1.188850998878479,1.316249966621399,0.12739896774291992,False,1430,400,400
Lab1_G1_N3,3,4,2,1.188850998878479,1.2266016006469727,0.03775060176849365,False,1430,400,400
Lab1_G1_N3,3,4,2,1.188850998878479,1.298815369606018,0.10996437072753906,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.188850998878479,0.019332289695739746,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.2632246017456055,0.09370589256286621,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.188850998878479,0.019332289695739746,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.3837932348251343,0.21427452564239502,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.3334565162658691,0.16393780708312988,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1695187091827393,1.188850998878479,0.019332289695739746,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1498615741729736,1.2811435461044312,0.13128197193145752,False,1430,400,400
Lab1_G1_N3,3,4,2,1.1498615741729736,1.2266016006469727,0.07674002647399902,False,1430,400,400
